ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1750153	ILMN_1750153	0.000287192142964768	2.34448329249995e-08	1.8272534654454	7.30148247316361	28.4058787540592	8.45999192012067	116642872	OR52A1	olfactory receptor family 52 subfamily A member 1
ILMN_2391071	ILMN_2391071	0.000287192142964768	2.46340688958487e-08	2.32598196004621	7.382648528814	28.1996597582616	8.43681778494369	221316597	CSH2	chorionic somatomammotropin hormone 2
ILMN_3251278	ILMN_3251278	0.000287192142964768	2.75563368801351e-08	3.64511322767449	7.97837787340043	27.7378898640601	8.38358214033321	756398243	DPPA3	developmental pluripotency associated 3
ILMN_2363475	ILMN_2363475	0.000318194791457492	4.9983597205846e-08	1.57847504341656	7.18581558196604	25.4069752302804	8.08358266279616	330688424	CSH1	chorionic somatomammotropin hormone 1
ILMN_1659601	ILMN_1659601	0.000318194791457492	6.49061393310261e-08	1.40666570021501	7.54874490389343	24.4460851181936	7.9427199560586	51944958	CCL26	C-C motif chemokine ligand 26
ILMN_1688722	ILMN_1688722	0.000318194791457492	8.78509205139146e-08	1.68584743548966	7.22326634524032	23.3772110758392	7.77240634989127	26787976	IL13RA2	interleukin 13 receptor subunit alpha 2
ILMN_1680507	ILMN_1680507	0.000318194791457492	8.89225614998619e-08	2.14267424700141	7.89653516059673	23.3353640446861	7.76542550114427	109255253	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma
ILMN_2412336	ILMN_2412336	0.000318194791457492	9.77196317752848e-08	1.89171426408929	7.55857726274798	23.0122619395666	7.71069226835042	359751395	AKR1C2	aldo-keto reductase family 1, member C2
ILMN_1687757	ILMN_1687757	0.000350615443636139	1.3456743183118e-07	1.78990373459858	7.62689648854361	21.9486087466188	7.51954163929224	325652082	AKR1C4	aldo-keto reductase family 1, member C4
ILMN_1673566	ILMN_1673566	0.00038525561751225	1.68437957031135e-07	1.55876448463351	7.9067130694422	21.2310839297484	7.38035704546533	735997385	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
ILMN_3248551	ILMN_3248551	0.00038525561751225	1.79878095334009e-07	1.60239956591596	7.2313989398137	21.0254216193631	7.33883148966276	157278360	C2CD4B	C2 calcium dependent domain containing 4B
ILMN_1723443	ILMN_1723443	0.00038525561751225	1.86776012944646e-07	1.84054865874065	7.32774647988089	20.9085208574257	7.31489160491229	126012572	LRP2	LDL receptor related protein 2
ILMN_1808245	ILMN_1808245	0.00038525561751225	1.97149935399347e-07	1.56953417358948	7.45342946871189	20.7417051040027	7.28030009051397	209969799	SBSPON	somatomedin B and thrombospondin type 1 domain containing
ILMN_1729487	ILMN_1729487	0.000401804059933897	2.18469552193317e-07	1.39643357601036	7.31306937096964	20.4283768554839	7.21393152996049	156104879	GMPR	guanosine monophosphate reductase
ILMN_1753449	ILMN_1753449	0.000434980197308535	2.50420378415967e-07	2.21314525238625	7.33891055818972	20.0189820994356	7.1243785361267	19882250	CST1	cystatin SN
