ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_3232894	ILMN_3232894	0.000769544178646724	2.46128119569732e-08	2.15344739207259	8.21853262366167	28.2032449836099	5.85353753446065	161783805	CNRIP1	cannabinoid receptor interacting protein 1
ILMN_1764380	ILMN_1764380	0.0050700657146272	4.86477232261293e-07	1.29794569769863	10.8039255012704	18.1380046980233	4.98237134499198	53832029	GLTP	glycolipid transfer protein
ILMN_1698318	ILMN_1698318	0.00686845159840313	1.30227008505008e-06	0.97626245933226	7.24910613909701	15.6586297998676	4.55932021573831	45439323	LGALS14	galectin 14
ILMN_1810604	ILMN_1810604	0.00686845159840313	1.31806785615105e-06	1.13265886907114	7.27205335236026	15.6303784102083	4.55366743067541	194097482	ELMOD1	ELMO domain containing 1
ILMN_1729117	ILMN_1729117	0.00772623922828575	1.72979193366597e-06	1.81319085618895	8.29423994928801	15.0061901359825	4.4231270709609	89363016	COL5A2	collagen type V alpha 2 chain
ILMN_1780334	ILMN_1780334	0.00804680044702316	2.05892674394503e-06	1.20430060075026	7.43299671362653	14.6187335080432	4.33633625711042	22095339	KCNJ2	potassium voltage-gated channel subfamily J member 2
ILMN_1716265	ILMN_1716265	0.0115121732160819	3.6678485709327e-06	1.54900009818776	8.42503222833773	13.4006849040015	4.0308855940982	751247066	PGM2L1	phosphoglucomutase 2 like 1
ILMN_1707232	ILMN_1707232	0.0115121732160819	3.68201023990338e-06	1.51865970095318	7.15277454801319	13.3928856444726	4.02875511486154	347658909	EBF3	early B-cell factor 3
ILMN_1653711	ILMN_1653711	0.0137177448480922	4.82617518483383e-06	0.793740368837949	7.93946178523348	12.8557006744897	3.87610098562535	313851098	FZD2	frizzled class receptor 2
ILMN_1654606	ILMN_1654606	0.0151710931480129	5.82271853694604e-06	1.25081504355977	7.60077366243629	12.4949034606677	3.76666942005261	145046233	ZDHHC22	zinc finger DHHC-type containing 22
ILMN_2131447	ILMN_2131447	0.0163686388415725	6.80586915308776e-06	1.43405828158969	7.44832769945772	12.2021857116663	3.67351732857303	961349595	LRRC3B	leucine rich repeat containing 3B
ILMN_3251728	ILMN_3251728	0.0220530671519304	1.03261176979231e-05	1.17144588283086	8.57947251509851	11.4507021779471	3.41488091355435	124028526	MTMR10	myotubularin related protein 10
ILMN_1711650	ILMN_1711650	0.0220530671519304	1.10805500563857e-05	1.0405140329215	7.80736956835739	11.3278643616886	3.3697442731056	27436975	KCNE5	potassium voltage-gated channel subfamily E regulatory subunit 5
ILMN_1772627	ILMN_1772627	0.0220530671519304	1.12853922609508e-05	1.40914983824719	9.80036064953093	11.2961515144518	3.357953681362	91932787	NSG1	neuron specific gene family member 1
ILMN_1753026	ILMN_1753026	0.0303072788868843	1.64787226084895e-05	0.687376581441003	7.1020459037626	10.6585291476033	3.10830292399783	46877063	PLPPR1	phospholipid phosphatase related 1
ILMN_1711988	ILMN_1711988	0.0366403009198721	2.22659028170399e-05	-1.26624456624344	9.38804660519142	-10.1748965272446	2.90177869819359	11545760	KCNK12	potassium two pore domain channel subfamily K member 12
ILMN_2396672	ILMN_2396672	0.0383450819196899	2.55584320726911e-05	0.697443612966069	8.80283274508614	9.95991434177531	2.80481858250044	51173712	ABLIM1	actin binding LIM protein 1
ILMN_1651628	ILMN_1651628	0.0383450819196899	2.57547086392083e-05	0.727194676983082	7.6652034752501	9.94810776730304	2.79939762834374	984290533	EXOC6	exocyst complex component 6
ILMN_1742929	ILMN_1742929	0.0415194957395478	2.92147670399172e-05	-0.950780131608692	7.92933319666647	-9.75533801927269	2.70943673375417	171184419	HESX1	HESX homeobox 1
ILMN_1676504	ILMN_1676504	0.0421542598291757	3.12136772217492e-05	-0.937130023828162	7.73532486248687	-9.65545600661082	2.66172812058531	392871548	RPRML	reprimo like
ILMN_1756935	ILMN_1756935	0.0421542598291757	3.33310560631302e-05	0.790486598710332	7.51986699946122	9.55729156599144	2.61409304954533	319996740	OSBPL6	oxysterol binding protein like 6
ILMN_1672908	ILMN_1672908	0.0421542598291757	3.8080892767619e-05	0.910919558804207	7.28239333993175	9.36072148600821	2.51642498738631	68160957	TWIST1	twist family bHLH transcription factor 1
ILMN_1677466	ILMN_1677466	0.0421542598291757	3.82999259289001e-05	1.2446734696759	8.41481568510226	9.35233897840727	2.51219112540988	576796261	DUSP6	dual specificity phosphatase 6
ILMN_1701424	ILMN_1701424	0.0421542598291757	3.83974338537564e-05	0.844287456043616	8.51794180065642	9.34862480600465	2.51031333435241	157419137	LAMC2	laminin subunit gamma 2
ILMN_1807969	ILMN_1807969	0.0421542598291757	4.01186207382276e-05	-0.560885730418137	7.63045544290622	-9.28477342277779	2.47785555771181	809281435	SNCAIP	synuclein alpha interacting protein
ILMN_1687440	ILMN_1687440	0.0421542598291757	4.12697746029337e-05	0.5365596203359	8.07800252062368	9.24378145973982	2.45684132320597	257470982	HIPK2	homeodomain interacting protein kinase 2
ILMN_2154101	ILMN_2154101	0.0421542598291757	4.17581612179589e-05	-0.631627424725715	8.49187863367356	-9.22678101829966	2.4480853360977	269315841	UPRT	uracil phosphoribosyltransferase homolog
ILMN_1697729	ILMN_1697729	0.0421542598291757	4.20864686766321e-05	-0.465310696989304	7.14092238408266	-9.21547929071395	2.44225113624153	90577186	MAP2K6	mitogen-activated protein kinase kinase 6
ILMN_2305112	ILMN_2305112	0.0421542598291757	4.31438724024059e-05	0.613617149671151	8.35862333373463	9.17974849192321	2.4237359321384	299473760	CTH	cystathionine gamma-lyase
ILMN_1682449	ILMN_1682449	0.045954670271134	4.8515604785785e-05	0.620812489417297	7.86288799639156	9.01239973954194	2.33557975360394	58761534	ZNF518B	zinc finger protein 518B
ILMN_1789618	ILMN_1789618	0.045954670271134	5.07747415167556e-05	1.02586050607015	7.92773946339408	8.94820486577818	2.30112345421205	808390717	FER	FER tyrosine kinase
ILMN_1658483	ILMN_1658483	0.045954670271134	5.18404946691228e-05	0.997301781035405	7.22511187231009	8.91903721170375	2.2853487524301	940517012	IL1A	interleukin 1 alpha
ILMN_1790160	ILMN_1790160	0.045954670271134	5.29126888556523e-05	-0.728142320970281	8.21526372960333	-8.89037226596233	2.26977287385029	148005038	KIT	KIT proto-oncogene receptor tyrosine kinase
ILMN_1796094	ILMN_1796094	0.0540274557637875	6.43629098350335e-05	0.921164881679607	8.05506786923919	8.62004365031892	2.11924676498047	188536061	CD36	CD36 molecule
ILMN_1700547	ILMN_1700547	0.0548183740881712	6.83783211616029e-05	-0.764619604831225	7.93060338580928	-8.53796176701148	2.07220899664035	372622387	CHST9	carbohydrate sulfotransferase 9
ILMN_1661994	ILMN_1661994	0.0674475061576633	8.62886281042197e-05	0.476583176534901	7.0266504130721	8.228554766948	1.889086433297	343780942	ESRRG	estrogen related receptor gamma
